,lon,lat,address
217,-86.1349019,40.2671941,"indiana, usa"
218,-94.7693772,38.9336384,"15850 w 108th st, lenexa, ks 66219, usa"
219,-95.712891,37.09024,united states
221,-122.4014193,37.4337342,"san mateo county, ca, usa"
225,-79.0192997,35.7595731,"north carolina, usa"
231,-81.0998342,32.0835407,"savannah, ga, usa"
234,-93.2619202,44.9725062,"701 park ave, minneapolis, mn 55415, usa"
235,-76.3036051,36.860402,"825 fairfax ave, norfolk, va 23507, usa"
238,-81.6943605,41.49932,"cleveland, oh, usa"
243,-90.0715323,29.9510658,"new orleans, la, usa"
246,-122.2913078,37.8271784,"san francisco bay area, ca, usa"
247,-93.2650108,44.977753,"minneapolis, mn, usa"
248,-123.2753839,44.5801566,"nw kings blvd, corvallis, or 97330, usa"
249,-97.396381,27.8005828,"corpus christi, tx, usa"
251,-121.6696689,36.7757907,"prunedale, ca, usa"
252,-76.6121893,39.2903848,"baltimore, md, usa"
253,-74.0059728,40.7127753,"new york, ny, usa"
255,-117.1483648,33.4936391,"temecula, ca, usa"
259,-71.0588801,42.3600825,"boston, ma, usa"
260,-81.1637245,33.836081,"south carolina, usa"
261,-96.7969879,32.7766642,"dallas, tx, usa"
262,-74.0018051,40.4031645,"monmouth hills, middletown, nj 07716, usa"
263,-117.7499909,34.055103,"pomona, ca, usa"
264,-77.017983,38.9812717,"baltimore ave, takoma park, md 20912, usa"
266,-84.3879824,33.7489954,"atlanta, ga, usa"
268,-82.6501332,34.5034394,"anderson, sc, usa"
269,-89.4012302,43.0730517,"madison, wi, usa"
275,-77.4360481,37.5407246,"richmond, va, usa"
276,-80.8431267,35.2270869,"charlotte, nc, usa"
277,-95.7257968,32.3593117,"mars, tx 75778, usa"
278,-97.1080656,32.735687,"arlington, tx, usa"
280,-149.4936733,64.2008413,"alaska, usa"
281,-115.1398296,36.1699412,"las vegas, nv, usa"
285,-80.4549026,38.5976262,"west virginia, usa"
286,-74.2776468,40.6081591,"rahway, nj 07065, usa"
287,-81.378447,40.7989473,"canton, oh, usa"
288,-122.9006951,47.0378741,"olympia, wa, usa"
289,-117.1610838,32.715738,"san diego, ca, usa"
290,-77.0483959,38.9028939,"2175 k st nw, washington, dc 20037, usa"
291,-97.3516558,32.7732044,"tarrant county, tx, usa"
292,-89.4012302,43.0730517,"madison, wi, usa"
294,-83.985,42.43472,"hell, mi 48169, usa"
295,-84.3879824,33.7489954,"atlanta, ga, usa"
299,-97.6836384,32.9659566,"springtown, tx 76082, usa"
303,-118.344822,34.064049,"618 s detroit st, los angeles, ca 90036, usa"
304,-87.7008193,30.2460361,"gulf shores, al, usa"
307,-77.0909809,38.8816208,"arlington county, arlington, va, usa"
308,-80.6495194,41.0997803,"youngstown, oh, usa"
309,-85.6023643,44.3148443,"michigan, usa"
312,-81.1637245,33.836081,"south carolina, usa"
313,-96.7969879,32.7766642,"dallas, tx, usa"
315,-82.5436722,27.763383,"tampa bay, florida, usa"
316,-80.1917902,25.7616798,"miami, fl, usa"
318,-83.9207392,35.9606384,"knoxville, tn, usa"
319,-84.2963223,37.568694,"berea, ky, usa"
320,-77.4360481,37.5407246,"richmond, va, usa"
321,-94.6169012,38.966673,"leawood, ks, usa"
326,-121.4943996,38.5815719,"sacramento, ca, usa"
328,-81.655651,30.3321838,"jacksonville, fl, usa"
330,-97.0403352,32.8998091,"dfw international airport (dfw), 2400 aviation dr, dfw airport, tx 75261, usa"
331,-77.0368707,38.9071923,"washington, dc, usa"
332,-74.0059728,40.7127753,"new york, ny, usa"
334,-85.6023643,44.3148443,"michigan, usa"
335,-119.4179324,36.778261,"california, usa"
340,-81.5157535,27.6648274,"florida, usa"
342,-122.4194155,37.7749295,"san francisco, ca, usa"
351,-89.2108873,31.6977723,"26 ms-28, laurel, ms 39443, usa"
352,-118.4003563,34.0736204,"beverly hills, ca, usa"
353,-95.712891,37.09024,united states
354,-77.0909809,38.8816208,"arlington county, arlington, va, usa"
355,-77.0861753,38.707982,"3200 mount vernon hwy, mt vernon, va 22121, usa"
356,-77.2310925,38.9187222,"tysons, va, usa"
357,-77.0524297,38.8094769,"401 n payne st, alexandria, va 22314, usa"
358,-77.0368707,38.9071923,"washington, dc, usa"
363,-111.8412502,33.3061605,"chandler, az, usa"
365,-86.8752869,40.4167022,"lafayette, in, usa"
371,-96.7969879,32.7766642,"dallas, tx, usa"
372,-79.778127,36.1432586,"4215 yanceyville rd x, browns summit, nc 27214, usa"
373,-82.9000751,32.1656221,"georgia, usa"
374,-107.4338866,32.4507852,"co rd a021, deming, nm 88030, usa"
375,-75.0359613,39.7268116,"3501 nj-42 suite 290, turnersville, nj 08012, usa"
376,-74.8965763,39.7128024,"41 nj-73, hammonton, nj 08037, usa"
379,-83.6129939,42.2411499,"ypsilanti, mi, usa"
381,-94.3096871,41.8460962,"jamaica, ia 50128, usa"
382,-87.964925,41.5992209,"il-7, illinois, usa"
384,-94.658108,39.022807,"5835 lamar ave, mission, ks 66202, usa"
386,-80.0905465,26.5317866,"boynton beach, fl, usa"
387,-73.9441579,40.6781784,"brooklyn, ny, usa"
388,-81.3601498,28.5379491,"fl-408, orlando, fl, usa"
